"utterance","item","speaker_belief","prob"
"know-doesnt_dance-?","Isabella_L","doesnt_dance",0.986542752084313
"know-doesnt_dance-?","Jackson_H","dances",0.298833829916263
"know-doesnt_dance-?","Jackson_H","doesnt_dance",0.701166170083737
"know-doesnt_dance-?","Jackson_L","dances",0.0218636964832979
"know-doesnt_dance-?","Jackson_L","doesnt_dance",0.978136303516702
"know-doesnt_dance-?","Jayden_H","dances",0.209497425029817
"know-doesnt_dance-?","Jayden_H","doesnt_dance",0.790502574970183
"know-doesnt_dance-?","Jayden_L","dances",0.0203031491257727
"know-doesnt_dance-?","Jayden_L","doesnt_dance",0.979696850874227
"know-doesnt_dance-?","Jon_H","dances",0.275892837211403
"know-doesnt_dance-?","Jon_H","doesnt_dance",0.724107162788596
"know-doesnt_dance-?","Jon_L","dances",0.0299899198130898
"know-doesnt_dance-?","Jon_L","doesnt_dance",0.97001008018691
"know-doesnt_dance-?","Josh_H","dances",0.12028333998094
"know-doesnt_dance-?","Josh_H","doesnt_dance",0.87971666001906
"know-doesnt_dance-?","Josh_L","dances",0.0302047288512382
"know-doesnt_dance-?","Josh_L","doesnt_dance",0.969795271148762
"know-doesnt_dance-?","Josie_H","dances",0.25151149450634
"know-doesnt_dance-?","Josie_H","doesnt_dance",0.748488505493659
"know-doesnt_dance-?","Josie_L","dances",0.0123803110977443
"know-doesnt_dance-?","Josie_L","doesnt_dance",0.987619688902256
"know-doesnt_dance-?","Julian_H","dances",0.148671277752628
"know-doesnt_dance-?","Julian_H","doesnt_dance",0.851328722247372
"know-doesnt_dance-?","Julian_L","dances",0.067668790412047
"know-doesnt_dance-?","Julian_L","doesnt_dance",0.932331209587953
"know-doesnt_dance-?","Mary_H","dances",0.355953718652463
"know-doesnt_dance-?","Mary_H","doesnt_dance",0.644046281347537
"know-doesnt_dance-?","Mary_L","dances",0.0282088398023258
"know-doesnt_dance-?","Mary_L","doesnt_dance",0.971791160197674
"know-doesnt_dance-?","Olivia_H","dances",0.191402091671143
"know-doesnt_dance-?","Olivia_H","doesnt_dance",0.808597908328857
"know-doesnt_dance-?","Olivia_L","dances",0.0257380487550377
"know-doesnt_dance-?","Olivia_L","doesnt_dance",0.974261951244962
"know-doesnt_dance-?","Owen_H","dances",0.265309332580015
"know-doesnt_dance-?","Owen_H","doesnt_dance",0.734690667419985
"know-doesnt_dance-?","Owen_L","dances",0.038195064801462
"know-doesnt_dance-?","Owen_L","doesnt_dance",0.961804935198538
"know-doesnt_dance-?","Tony_H","dances",0.266181597990448
"know-doesnt_dance-?","Tony_H","doesnt_dance",0.733818402009552
"know-doesnt_dance-?","Tony_L","dances",0.0272282939807858
"know-doesnt_dance-?","Tony_L","doesnt_dance",0.972771706019214
"know-doesnt_dance-?","Zoe_H","dances",0.264751091477367
"know-doesnt_dance-?","Zoe_H","doesnt_dance",0.735248908522633
"know-doesnt_dance-?","Zoe_L","dances",0.0227989906218766
"know-doesnt_dance-?","Zoe_L","doesnt_dance",0.977201009378123
"think-dances-?","Charley_H","dances",0.751534021279379
"think-dances-?","Charley_H","doesnt_dance",0.248465978720621
"think-dances-?","Charley_L","dances",0.177472417284196
"think-dances-?","Charley_L","doesnt_dance",0.822527582715804
"think-dances-?","Danny_H","dances",0.618917732229766
"think-dances-?","Danny_H","doesnt_dance",0.381082267770234
"think-dances-?","Danny_L","dances",0.179873194501023
"think-dances-?","Danny_L","doesnt_dance",0.820126805498977
"think-dances-?","Emily_H","dances",0.460253326949594
"think-dances-?","Emily_H","doesnt_dance",0.539746673050406
"think-dances-?","Emily_L","dances",0.0831198286381716
"think-dances-?","Emily_L","doesnt_dance",0.916880171361829
"think-dances-?","Emma_H","dances",0.599264453678434
"think-dances-?","Emma_H","doesnt_dance",0.400735546321566
"think-dances-?","Emma_L","dances",0.217307983180836
"think-dances-?","Emma_L","doesnt_dance",0.782692016819164
"think-dances-?","Frank_H","dances",0.598010709867051
"think-dances-?","Frank_H","doesnt_dance",0.401989290132949
"think-dances-?","Frank_L","dances",0.0953060829880842
"think-dances-?","Frank_L","doesnt_dance",0.904693917011916
"think-dances-?","Grace_H","dances",0.733422293735755
"think-dances-?","Grace_H","doesnt_dance",0.266577706264245
"think-dances-?","Grace_L","dances",0.153517581867934
"think-dances-?","Grace_L","doesnt_dance",0.846482418132066
"think-dances-?","Isabella_H","dances",0.411619850194629
"think-dances-?","Isabella_H","doesnt_dance",0.588380149805371
"think-dances-?","Isabella_L","dances",0.0664528815444178
"think-dances-?","Isabella_L","doesnt_dance",0.933547118455582
"think-dances-?","Jackson_H","dances",0.71451852971438
"think-dances-?","Jackson_H","doesnt_dance",0.28548147028562
"think-dances-?","Jackson_L","dances",0.106793629161718
"think-dances-?","Jackson_L","doesnt_dance",0.893206370838281
"think-dances-?","Jayden_H","dances",0.607724937174418
"think-dances-?","Jayden_H","doesnt_dance",0.392275062825581
"think-dances-?","Jayden_L","dances",0.0994384551029751
"think-dances-?","Jayden_L","doesnt_dance",0.900561544897025
"think-dances-?","Jon_H","dances",0.690938766594224
"think-dances-?","Jon_H","doesnt_dance",0.309061233405776
"think-dances-?","Jon_L","dances",0.143973506072277
"think-dances-?","Jon_L","doesnt_dance",0.856026493927723
"think-dances-?","Josh_H","dances",0.441240612543273
"think-dances-?","Josh_H","doesnt_dance",0.558759387456727
"think-dances-?","Josh_L","dances",0.144929869585387
"think-dances-?","Josh_L","doesnt_dance",0.855070130414613
"think-dances-?","Josie_H","dances",0.663239444576806
"think-dances-?","Josie_H","doesnt_dance",0.336760555423194
"think-dances-?","Josie_L","dances",0.061172154667528
"think-dances-?","Josie_L","doesnt_dance",0.938827845332472
"think-dances-?","Julian_H","dances",0.503496415465068
"think-dances-?","Julian_H","doesnt_dance",0.496503584534932
"think-dances-?","Julian_L","dances",0.291190862963928
"think-dances-?","Julian_L","doesnt_dance",0.708809137036072
"think-dances-?","Mary_H","dances",0.764745222571174
"think-dances-?","Mary_H","doesnt_dance",0.235254777428827
"think-dances-?","Mary_L","dances",0.135990576352737
"think-dances-?","Mary_L","doesnt_dance",0.864009423647263
"think-dances-?","Olivia_H","dances",0.580121011713655
"think-dances-?","Olivia_H","doesnt_dance",0.419878988286345
"think-dances-?","Olivia_L","dances",0.124760156334255
"think-dances-?","Olivia_L","doesnt_dance",0.875239843665745
"think-dances-?","Owen_H","dances",0.679273236888997
"think-dances-?","Owen_H","doesnt_dance",0.320726763111003
"think-dances-?","Owen_L","dances",0.179514919970702
"think-dances-?","Owen_L","doesnt_dance",0.820485080029298
"think-dances-?","Tony_H","dances",0.680254802852728
"think-dances-?","Tony_H","doesnt_dance",0.319745197147272
"think-dances-?","Tony_L","dances",0.13155531443769
"think-dances-?","Tony_L","doesnt_dance",0.868444685562309
"think-dances-?","Zoe_H","dances",0.678643101700384
"think-dances-?","Zoe_H","doesnt_dance",0.321356898299616
"think-dances-?","Zoe_L","dances",0.111169828076269
"think-dances-?","Zoe_L","doesnt_dance",0.888830171923731
"think-doesnt_dance-?","Charley_H","dances",0.865587293708021
"think-doesnt_dance-?","Charley_H","doesnt_dance",0.134412706291979
