"predicate","belief_content","utterance_type","content","prior","mean_belief_rating","count"
"say","not_p","pos","jon",0.7559375,0.476666666666667,6
"say","not_p","pos","josie",0.73343949044586,0.376,5
"say","not_p","pos","mary",0.815167785234899,0.35,4
"say","not_p","pos","owen",0.74648275862069,0.493333333333333,3
"say","not_p","pos","tony",0.747279411764706,0.23,1
"say","not_p","pos","zoe",0.745971223021583,0.375,6
"say","not_p","neg","charley",0.195367647058823,0.901428571428571,7
"say","not_p","neg","danny",0.302937062937063,0.445,2
"say","not_p","neg","frank",0.32027972027972,0.433333333333333,3
"say","not_p","neg","grace",0.209855072463768,0.293333333333333,3
"say","not_p","neg","jackson",0.225034965034965,0.443333333333333,3
"say","not_p","neg","jayden",0.312205882352941,0.5775,4
"say","not_p","neg","jon",0.2440625,0.512,5
"say","not_p","neg","josie",0.26656050955414,0.604,5
"say","not_p","neg","mary",0.184832214765101,0.285,4
"say","not_p","neg","owen",0.25351724137931,0.483333333333333,6
"say","not_p","neg","tony",0.252720588235294,0.533333333333333,3
"say","not_p","neg","zoe",0.254028776978417,0.5375,4
"say","p","pos","charley",0.804632352941177,0.533333333333333,6
"say","p","pos","danny",0.697062937062937,0.542,5
"say","p","pos","frank",0.67972027972028,0.75,1
"say","p","pos","grace",0.790144927536232,0.538,5
"say","p","pos","jackson",0.774965034965035,0.66,3
"say","p","pos","jayden",0.687794117647059,0.6275,4
"say","p","pos","jon",0.7559375,0.523333333333333,6
"say","p","pos","josie",0.73343949044586,0.624,5
"say","p","pos","mary",0.815167785234899,0.65,4
"say","p","pos","owen",0.74648275862069,0.506666666666667,3
"say","p","pos","tony",0.747279411764706,0.77,1
"say","p","pos","zoe",0.745971223021583,0.625,6
"say","p","neg","charley",0.195367647058823,0.0985714285714286,7
"say","p","neg","danny",0.302937062937063,0.555,2
"say","p","neg","frank",0.32027972027972,0.566666666666667,3
"say","p","neg","grace",0.209855072463768,0.706666666666667,3
"say","p","neg","jackson",0.225034965034965,0.556666666666667,3
"say","p","neg","jayden",0.312205882352941,0.4225,4
"say","p","neg","jon",0.2440625,0.488,5
"say","p","neg","josie",0.26656050955414,0.396,5
"say","p","neg","mary",0.184832214765101,0.715,4
"say","p","neg","owen",0.25351724137931,0.516666666666667,6
"say","p","neg","tony",0.252720588235294,0.466666666666667,3
"say","p","neg","zoe",0.254028776978417,0.4625,4
"confirm","not_p","pos","charley",0.804632352941177,0.406666666666667,6
"confirm","not_p","pos","danny",0.697062937062937,0.455714285714286,7
"confirm","not_p","pos","frank",0.67972027972028,0.306666666666667,3
"confirm","not_p","pos","grace",0.790144927536232,0.37,2
"confirm","not_p","pos","jackson",0.774965034965035,0.32,7
"confirm","not_p","pos","jayden",0.687794117647059,0.482,5
"confirm","not_p","pos","josie",0.73343949044586,0.303333333333333,3
"confirm","not_p","pos","mary",0.815167785234899,0.21,2
"confirm","not_p","pos","owen",0.74648275862069,0.405,4
"confirm","not_p","pos","tony",0.747279411764706,0.26875,8
"confirm","not_p","pos","zoe",0.745971223021583,0.5,2
"confirm","not_p","neg","charley",0.195367647058823,0.488,5
"confirm","not_p","neg","danny",0.302937062937063,0.435,2
"confirm","not_p","neg","frank",0.32027972027972,0.491111111111111,9
"confirm","not_p","neg","grace",0.209855072463768,0.55,4
"confirm","not_p","neg","jackson",0.225034965034965,0.74,2
"confirm","not_p","neg","jayden",0.312205882352941,0.342,5
"confirm","not_p","neg","jon",0.2440625,0.59,1
"confirm","not_p","neg","josie",0.26656050955414,0.611666666666667,6
"confirm","not_p","neg","mary",0.184832214765101,0.37,5
"confirm","not_p","neg","owen",0.25351724137931,0.7025,4
"confirm","not_p","neg","tony",0.252720588235294,0.446666666666667,3
"confirm","not_p","neg","zoe",0.254028776978417,0.47,3
"confirm","p","pos","charley",0.804632352941177,0.593333333333333,6
"confirm","p","pos","danny",0.697062937062937,0.544285714285714,7
