"predicate","utterance_type","prior_condition","speaker_ci_low","speaker_ci_high","ah_ci_low","ah_ci_high","speaker_YMin","speaker_YMax","ah_YMin","ah_YMax","rating_type","rating_value","YMax","YMin"
"say","pos","low_prob",0.0247253623188406,0.0265260869565217,0.0277978260869565,0.0284420289855073,0.317854347826087,0.369105797101449,0.514926811594203,0.571166666666667,"mean_ah_rating",0.542724637681159,0.571166666666667,0.514926811594203
"say","neg","high_prob",0.026468115942029,0.0234847826086957,0.0233666666666666,0.026522463768116,0.513763768115942,0.563716666666667,0.34234347826087,0.392232608695652,"mean_speaker_rating",0.540231884057971,0.563716666666667,0.513763768115942
"say","neg","high_prob",0.026468115942029,0.0234847826086957,0.0233666666666666,0.026522463768116,0.513763768115942,0.563716666666667,0.34234347826087,0.392232608695652,"mean_ah_rating",0.365710144927536,0.392232608695652,0.34234347826087
"say","neg","low_prob",0.0281507246376812,0.026436231884058,0.0253927536231884,0.0253666666666666,0.355907246376812,0.410494202898551,0.261882608695652,0.312642028985507,"mean_speaker_rating",0.384057971014493,0.410494202898551,0.355907246376812
"say","neg","low_prob",0.0281507246376812,0.026436231884058,0.0253927536231884,0.0253666666666666,0.355907246376812,0.410494202898551,0.261882608695652,0.312642028985507,"mean_ah_rating",0.287275362318841,0.312642028985507,0.261882608695652
"inform","pos","high_prob",0.0196990881458967,0.019154255319149,0.0227066869300913,0.0233738601823708,0.843340425531915,0.88219376899696,0.770424012158055,0.816504559270517,"mean_speaker_rating",0.863039513677812,0.88219376899696,0.843340425531915
"inform","pos","high_prob",0.0196990881458967,0.019154255319149,0.0227066869300913,0.0233738601823708,0.843340425531915,0.88219376899696,0.770424012158055,0.816504559270517,"mean_ah_rating",0.793130699088146,0.816504559270517,0.770424012158055
"inform","pos","low_prob",0.032199548192771,0.0329871987951807,0.0338975903614458,0.0326513554216867,0.662318524096386,0.727505271084337,0.632457831325301,0.699006777108434,"mean_speaker_rating",0.694518072289157,0.727505271084337,0.662318524096386
"inform","pos","low_prob",0.032199548192771,0.0329871987951807,0.0338975903614458,0.0326513554216867,0.662318524096386,0.727505271084337,0.632457831325301,0.699006777108434,"mean_ah_rating",0.666355421686747,0.699006777108434,0.632457831325301
"inform","neg","high_prob",0.0314789855072464,0.0301746376811594,0.0302615942028986,0.0291108695652174,0.216173188405797,0.277826811594203,0.274955797101449,0.334328260869565,"mean_speaker_rating",0.247652173913043,0.277826811594203,0.216173188405797
"inform","neg","high_prob",0.0314789855072464,0.0301746376811594,0.0302615942028986,0.0291108695652174,0.216173188405797,0.277826811594203,0.274955797101449,0.334328260869565,"mean_ah_rating",0.305217391304348,0.334328260869565,0.274955797101449
"inform","neg","low_prob",0.02235,0.0244115942028985,0.0246753623188406,0.0261463768115942,0.134954347826087,0.181715942028985,0.205005797101449,0.255827536231884,"mean_speaker_rating",0.157304347826087,0.181715942028985,0.134954347826087
"inform","neg","low_prob",0.02235,0.0244115942028985,0.0246753623188406,0.0261463768115942,0.134954347826087,0.181715942028985,0.205005797101449,0.255827536231884,"mean_ah_rating",0.22968115942029,0.255827536231884,0.205005797101449
