item,content,prior_type,state,n,prop
Isabella_L,Isabella ate a steak on Sunday,factL,9,3,0.007009346
Isabella_L,Isabella ate a steak on Sunday,factL,10,5,0.011682243
Jackson_H,Jackson ran 10 miles,factH,1,2,0.004889976
Jackson_H,Jackson ran 10 miles,factH,2,1,0.002444988
Jackson_H,Jackson ran 10 miles,factH,3,3,0.007334963
Jackson_H,Jackson ran 10 miles,factH,4,9,0.02200489
Jackson_H,Jackson ran 10 miles,factH,5,5,0.012224939
Jackson_H,Jackson ran 10 miles,factH,6,29,0.070904645
Jackson_H,Jackson ran 10 miles,factH,7,51,0.124694377
Jackson_H,Jackson ran 10 miles,factH,8,77,0.188264059
Jackson_H,Jackson ran 10 miles,factH,9,98,0.239608802
Jackson_H,Jackson ran 10 miles,factH,10,134,0.327628362
Jackson_L,Jackson ran 10 miles,factL,1,222,0.485776805
Jackson_L,Jackson ran 10 miles,factL,2,110,0.240700219
Jackson_L,Jackson ran 10 miles,factL,3,63,0.13785558
Jackson_L,Jackson ran 10 miles,factL,4,24,0.052516411
Jackson_L,Jackson ran 10 miles,factL,5,11,0.024070022
Jackson_L,Jackson ran 10 miles,factL,6,9,0.019693654
Jackson_L,Jackson ran 10 miles,factL,7,8,0.01750547
Jackson_L,Jackson ran 10 miles,factL,8,7,0.015317287
Jackson_L,Jackson ran 10 miles,factL,9,3,0.006564551
Jackson_L,Jackson ran 10 miles,factL,10,0,0
Jayden_H,Jayden rented a car,factH,1,7,0.01627907
Jayden_H,Jayden rented a car,factH,2,9,0.020930233
Jayden_H,Jayden rented a car,factH,3,7,0.01627907
Jayden_H,Jayden rented a car,factH,4,12,0.027906977
Jayden_H,Jayden rented a car,factH,5,38,0.088372093
Jayden_H,Jayden rented a car,factH,6,73,0.169767442
Jayden_H,Jayden rented a car,factH,7,84,0.195348837
Jayden_H,Jayden rented a car,factH,8,86,0.2
Jayden_H,Jayden rented a car,factH,9,67,0.155813953
Jayden_H,Jayden rented a car,factH,10,47,0.109302326
Jayden_L,Jayden rented a car,factL,1,321,0.736238532
Jayden_L,Jayden rented a car,factL,2,36,0.082568807
Jayden_L,Jayden rented a car,factL,3,13,0.029816514
Jayden_L,Jayden rented a car,factL,4,12,0.027522936
Jayden_L,Jayden rented a car,factL,5,12,0.027522936
Jayden_L,Jayden rented a car,factL,6,11,0.025229358
Jayden_L,Jayden rented a car,factL,7,13,0.029816514
Jayden_L,Jayden rented a car,factL,8,7,0.016055046
Jayden_L,Jayden rented a car,factL,9,5,0.01146789
Jayden_L,Jayden rented a car,factL,10,6,0.013761468
Jon_H,Jon walks to work,factH,1,3,0.007194245
Jon_H,Jon walks to work,factH,2,1,0.002398082
Jon_H,Jon walks to work,factH,3,4,0.009592326
Jon_H,Jon walks to work,factH,4,8,0.019184652
Jon_H,Jon walks to work,factH,5,12,0.028776978
Jon_H,Jon walks to work,factH,6,26,0.06235012
Jon_H,Jon walks to work,factH,7,53,0.127098321
Jon_H,Jon walks to work,factH,8,93,0.223021583
Jon_H,Jon walks to work,factH,9,107,0.256594724
Jon_H,Jon walks to work,factH,10,110,0.263788969
Jon_L,Jon walks to work,factL,1,192,0.427616927
Jon_L,Jon walks to work,factL,2,111,0.247216036
Jon_L,Jon walks to work,factL,3,71,0.158129176
Jon_L,Jon walks to work,factL,4,18,0.040089087
Jon_L,Jon walks to work,factL,5,15,0.033407572
Jon_L,Jon walks to work,factL,6,11,0.024498886
Jon_L,Jon walks to work,factL,7,10,0.022271715
Jon_L,Jon walks to work,factL,8,11,0.024498886
Jon_L,Jon walks to work,factL,9,6,0.013363029
Jon_L,Jon walks to work,factL,10,4,0.008908686
Josh_H,Josh learned to ride a bike yesterday,factH,1,24,0.053932584
Josh_H,Josh learned to ride a bike yesterday,factH,2,18,0.040449438
Josh_H,Josh learned to ride a bike yesterday,factH,3,19,0.042696629
Josh_H,Josh learned to ride a bike yesterday,factH,4,36,0.080898876
Josh_H,Josh learned to ride a bike yesterday,factH,5,53,0.119101124
Josh_H,Josh learned to ride a bike yesterday,factH,6,128,0.287640449
Josh_H,Josh learned to ride a bike yesterday,factH,7,71,0.159550562
Josh_H,Josh learned to ride a bike yesterday,factH,8,54,0.121348315
Josh_H,Josh learned to ride a bike yesterday,factH,9,28,0.062921348
Josh_H,Josh learned to ride a bike yesterday,factH,10,14,0.031460674
Josh_L,Josh learned to ride a bike yesterday,factL,1,149,0.35391924
Josh_L,Josh learned to ride a bike yesterday,factL,2,96,0.228028504
Josh_L,Josh learned to ride a bike yesterday,factL,3,67,0.159144893
Josh_L,Josh learned to ride a bike yesterday,factL,4,40,0.095011876
Josh_L,Josh learned to ride a bike yesterday,factL,5,25,0.059382423
Josh_L,Josh learned to ride a bike yesterday,factL,6,20,0.047505938
Josh_L,Josh learned to ride a bike yesterday,factL,7,10,0.023752969
Josh_L,Josh learned to ride a bike yesterday,factL,8,8,0.019002375
Josh_L,Josh learned to ride a bike yesterday,factL,9,2,0.004750594
Josh_L,Josh learned to ride a bike yesterday,factL,10,4,0.009501188
Josie_H,Josie went on vacation to France,factH,1,3,0.006622517
Josie_H,Josie went on vacation to France,factH,2,4,0.008830022
Josie_H,Josie went on vacation to France,factH,3,2,0.004415011
Josie_H,Josie went on vacation to France,factH,4,6,0.013245033
Josie_H,Josie went on vacation to France,factH,5,35,0.077262693
Josie_H,Josie went on vacation to France,factH,6,49,0.10816777
Josie_H,Josie went on vacation to France,factH,7,81,0.178807947
Josie_H,Josie went on vacation to France,factH,8,99,0.218543046
Josie_H,Josie went on vacation to France,factH,9,88,0.194260486
Josie_H,Josie went on vacation to France,factH,10,86,0.189845475
Josie_L,Josie went on vacation to France,factL,1,314,0.760290557
Josie_L,Josie went on vacation to France,factL,2,41,0.099273608
Josie_L,Josie went on vacation to France,factL,3,13,0.031476998
Josie_L,Josie went on vacation to France,factL,4,9,0.021791768
Josie_L,Josie went on vacation to France,factL,5,12,0.02905569
Josie_L,Josie went on vacation to France,factL,6,9,0.021791768
Josie_L,Josie went on vacation to France,factL,7,4,0.00968523
Josie_L,Josie went on vacation to France,factL,8,6,0.014527845
Josie_L,Josie went on vacation to France,factL,9,2,0.004842615
Josie_L,Josie went on vacation to France,factL,10,3,0.007263923
Julian_H,Julian dances salsa,factH,1,0,0
Julian_H,Julian dances salsa,factH,2,9,0.021028037
Julian_H,Julian dances salsa,factH,3,13,0.030373832
Julian_H,Julian dances salsa,factH,4,21,0.049065421
Julian_H,Julian dances salsa,factH,5,67,0.156542056
Julian_H,Julian dances salsa,factH,6,118,0.275700935
Julian_H,Julian dances salsa,factH,7,72,0.168224299
Julian_H,Julian dances salsa,factH,8,67,0.156542056
Julian_H,Julian dances salsa,factH,9,32,0.074766355
Julian_H,Julian dances salsa,factH,10,29,0.067757009
Julian_L,Julian dances salsa,factL,1,39,0.089041096
Julian_L,Julian dances salsa,factL,2,62,0.141552511
Julian_L,Julian dances salsa,factL,3,84,0.191780822
Julian_L,Julian dances salsa,factL,4,89,0.203196347
Julian_L,Julian dances salsa,factL,5,76,0.173515982
Julian_L,Julian dances salsa,factL,6,59,0.134703196
Julian_L,Julian dances salsa,factL,7,6,0.01369863
Julian_L,Julian dances salsa,factL,8,12,0.02739726
Julian_L,Julian dances salsa,factL,9,6,0.01369863
Julian_L,Julian dances salsa,factL,10,5,0.011415525
Mary_H,Mary is pregnant,factH,1,11,0.025522042
Mary_H,Mary is pregnant,factH,2,2,0.004640371
Mary_H,Mary is pregnant,factH,3,4,0.009280742
Mary_H,Mary is pregnant,factH,4,7,0.016241299
Mary_H,Mary is pregnant,factH,5,8,0.018561485
Mary_H,Mary is pregnant,factH,6,11,0.025522042
Mary_H,Mary is pregnant,factH,7,14,0.032482599
Mary_H,Mary is pregnant,factH,8,41,0.09512761
Mary_H,Mary is pregnant,factH,9,85,0.197215777
Mary_H,Mary is pregnant,factH,10,248,0.575406032
Mary_L,Mary is pregnant,factL,1,207,0.475862069
Mary_L,Mary is pregnant,factL,2,94,0.216091954
Mary_L,Mary is pregnant,factL,3,53,0.12183908
Mary_L,Mary is pregnant,factL,4,32,0.073563218
Mary_L,Mary is pregnant,factL,5,16,0.036781609
Mary_L,Mary is pregnant,factL,6,11,0.025287356
Mary_L,Mary is pregnant,factL,7,7,0.016091954
Mary_L,Mary is pregnant,factL,8,7,0.016091954
Mary_L,Mary is pregnant,factL,9,5,0.011494253
Mary_L,Mary is pregnant,factL,10,3,0.006896552
Mia_H,Mia drank 2 cocktails last night,factH,1,7,0.016431925
Mia_H,Mia drank 2 cocktails last night,factH,2,11,0.025821596
Mia_H,Mia drank 2 cocktails last night,factH,3,24,0.056338028
Mia_H,Mia drank 2 cocktails last night,factH,4,31,0.072769953
Mia_H,Mia drank 2 cocktails last night,factH,5,69,0.161971831
Mia_H,Mia drank 2 cocktails last night,factH,6,128,0.300469484
Mia_H,Mia drank 2 cocktails last night,factH,7,69,0.161971831
Mia_H,Mia drank 2 cocktails last night,factH,8,49,0.115023474
Mia_H,Mia drank 2 cocktails last night,factH,9,24,0.056338028
Mia_H,Mia drank 2 cocktails last night,factH,10,14,0.03286385
Mia_L,Mia drank 2 cocktails last night,factL,1,237,0.538636364
Mia_L,Mia drank 2 cocktails last night,factL,2,71,0.161363636
Mia_L,Mia drank 2 cocktails last night,factL,3,40,0.090909091
Mia_L,Mia drank 2 cocktails last night,factL,4,25,0.056818182
Mia_L,Mia drank 2 cocktails last night,factL,5,19,0.043181818
Mia_L,Mia drank 2 cocktails last night,factL,6,23,0.052272727
Mia_L,Mia drank 2 cocktails last night,factL,7,8,0.018181818
Mia_L,Mia drank 2 cocktails last night,factL,8,10,0.022727273
Mia_L,Mia drank 2 cocktails last night,factL,9,5,0.011363636
Mia_L,Mia drank 2 cocktails last night,factL,10,2,0.004545455
Olivia_H,Olivia sleeps until noon,factH,1,14,0.032634033
Olivia_H,Olivia sleeps until noon,factH,2,3,0.006993007
Olivia_H,Olivia sleeps until noon,factH,3,13,0.03030303
Olivia_H,Olivia sleeps until noon,factH,4,12,0.027972028
Olivia_H,Olivia sleeps until noon,factH,5,17,0.03962704
Olivia_H,Olivia sleeps until noon,factH,6,31,0.072261072
Olivia_H,Olivia sleeps until noon,factH,7,74,0.172494172
Olivia_H,Olivia sleeps until noon,factH,8,110,0.256410256
Olivia_H,Olivia sleeps until noon,factH,9,85,0.198135198
Olivia_H,Olivia sleeps until noon,factH,10,70,0.163170163
Olivia_L,Olivia sleeps until noon,factL,1,223,0.510297483
Olivia_L,Olivia sleeps until noon,factL,2,102,0.233409611
