content,prior_type,state,n,prop
Jackson ran 10 miles,factL,5,11,0.024070021881838075
Jackson ran 10 miles,factL,6,9,0.019693654266958426
Jackson ran 10 miles,factL,7,8,0.0175054704595186
Jackson ran 10 miles,factL,8,7,0.015317286652078774
Jackson ran 10 miles,factL,9,3,0.006564551422319475
Jayden rented a car,factH,1,7,0.01627906976744186
Jayden rented a car,factH,2,9,0.020930232558139535
Jayden rented a car,factH,3,7,0.01627906976744186
Jayden rented a car,factH,4,12,0.027906976744186046
Jayden rented a car,factH,5,38,0.08837209302325581
Jayden rented a car,factH,6,73,0.1697674418604651
Jayden rented a car,factH,7,84,0.19534883720930232
Jayden rented a car,factH,8,86,0.2
Jayden rented a car,factH,9,67,0.1558139534883721
Jayden rented a car,factH,10,47,0.10930232558139535
Jayden rented a car,factL,1,321,0.7362385321100917
Jayden rented a car,factL,2,36,0.08256880733944955
Jayden rented a car,factL,3,13,0.02981651376146789
Jayden rented a car,factL,4,12,0.027522935779816515
Jayden rented a car,factL,5,12,0.027522935779816515
Jayden rented a car,factL,6,11,0.02522935779816514
Jayden rented a car,factL,7,13,0.02981651376146789
Jayden rented a car,factL,8,7,0.016055045871559634
Jayden rented a car,factL,9,5,0.011467889908256881
Jayden rented a car,factL,10,6,0.013761467889908258
Jon walks to work,factH,1,3,0.007194244604316547
Jon walks to work,factH,2,1,0.002398081534772182
Jon walks to work,factH,3,4,0.009592326139088728
Jon walks to work,factH,4,8,0.019184652278177457
Jon walks to work,factH,5,12,0.02877697841726619
Jon walks to work,factH,6,26,0.06235011990407674
Jon walks to work,factH,7,53,0.12709832134292565
Jon walks to work,factH,8,93,0.22302158273381295
Jon walks to work,factH,9,107,0.2565947242206235
Jon walks to work,factH,10,110,0.2637889688249401
Jon walks to work,factL,1,192,0.42761692650334077
Jon walks to work,factL,2,111,0.24721603563474387
Jon walks to work,factL,3,71,0.15812917594654788
Jon walks to work,factL,4,18,0.0400890868596882
Jon walks to work,factL,5,15,0.0334075723830735
Jon walks to work,factL,6,11,0.024498886414253896
Jon walks to work,factL,7,10,0.022271714922048998
Jon walks to work,factL,8,11,0.024498886414253896
Jon walks to work,factL,9,6,0.013363028953229399
Jon walks to work,factL,10,4,0.008908685968819599
Josh learned to ride a bike yesterday,factH,1,24,0.05393258426966292
Josh learned to ride a bike yesterday,factH,2,18,0.04044943820224719
Josh learned to ride a bike yesterday,factH,3,19,0.04269662921348315
Josh learned to ride a bike yesterday,factH,4,36,0.08089887640449438
Josh learned to ride a bike yesterday,factH,5,53,0.11910112359550562
Josh learned to ride a bike yesterday,factH,6,128,0.2876404494382023
Josh learned to ride a bike yesterday,factH,7,71,0.15955056179775282
Josh learned to ride a bike yesterday,factH,8,54,0.12134831460674157
Josh learned to ride a bike yesterday,factH,9,28,0.06292134831460675
Josh learned to ride a bike yesterday,factH,10,14,0.03146067415730337
Josh learned to ride a bike yesterday,factL,1,149,0.35391923990498814
Josh learned to ride a bike yesterday,factL,2,96,0.22802850356294538
Josh learned to ride a bike yesterday,factL,3,67,0.15914489311163896
Josh learned to ride a bike yesterday,factL,4,40,0.09501187648456057
Josh learned to ride a bike yesterday,factL,5,25,0.05938242280285035
